Wall time,Step,Value
1512921319.8458803,92754,-1.0
1512921437.5820062,93132,-1.0
1512921477.7875018,93275,20.0
1512921565.115483,93501,13.0
1512921577.3810744,93510,26.0
1512921580.7558753,93528,-1.0
1512921585.1080308,93559,-13.0
1512921597.1538148,93575,0.0
1512921616.5488446,93646,-1.0
1512921621.4701312,93685,-78.0
1512921799.920445,93930,10.0
1512921803.3569405,93951,2.0
1512921816.5510852,93968,-21.0
1512921835.3713048,94027,2.0
1512921860.9765043,94130,-1.0
1512921882.574105,94207,46.0
1512921942.7828856,94381,-76.0
1512921982.6709733,94475,13.0
1512922029.6165993,94643,43.0
1512922092.2624028,94845,-9.0
1512922127.379919,94949,84.0
1512922147.5879667,95023,-2.0
1512922185.6120763,95150,0.0
1512922373.9313529,95759,-62.0
1512922433.916281,95968,29.0
1512922572.7109933,96126,7.0
1512922611.565151,96232,-33.0
1512922675.427993,96412,26.0
1512922738.6051762,96618,12.0
1512922772.6013517,96708,-1.0
1512922836.203247,96928,-1.0
1512922836.6095185,96931,2.0
1512922895.4106975,97122,-1.0
1512922936.5970936,97265,-12.0
1512922990.712214,97415,2.0
1512922992.9714224,97431,-2.0
1512922994.7249827,97444,-1.0
1512922995.5591462,97450,-1.0
1512923031.7265544,97555,0.0
1512923035.840543,97584,-1.0
1512923050.5764115,97619,12.0
1512923111.6214695,97839,-2.0
1512923266.5928276,98295,2.0
1512923374.5497932,98639,32.0
1512923653.985966,99290,-1.0
1512923655.1215596,99299,-13.0
1512923713.5809803,99483,22.0
1512923776.2074668,99680,6.0
1512923801.480609,99770,-6.0
1512923820.280797,99836,6.0
1512923831.239649,99845,7.0
1512923850.2430248,99913,17.0
1512924074.3478563,100689,-24.0
1512924151.195876,100966,-12.0
1512924152.8734288,100978,1.0
1512924328.389357,101348,-1.0
1512924329.896691,101360,15.0
1512924343.2233891,101387,-9.0
1512924361.7627811,101443,-9.0
1512924384.5054724,101532,-1.0
1512924424.6102104,101671,-19.0
1512924479.5313873,101857,0.0
1512924481.1695056,101868,-6.0
1512924496.7568936,101909,54.0
1512924558.0864186,102141,2.0
1512924601.3154216,102209,-22.0
1512924623.5856915,102299,-74.0
1512924628.528518,102334,-1.0
1512924675.9884064,102472,-1.0
1512924700.5899339,102583,4.0
1512924730.2109027,102659,2.0
1512924730.6525505,102662,30.0
1512924748.278652,102724,18.0
1512924751.367272,102746,-1.0
1512924805.8689635,102937,-43.0
1512924822.5873418,102989,2.0
1512924899.3356743,103263,2.0
1512924939.3844051,103416,-1.0
1512924953.7457638,103452,-1.0
1512924955.585622,103466,-1.0
1512924993.4560266,103604,-1.0
1512925011.540481,103667,69.0
1512925101.517465,103713,-2.0
1512925278.574344,103938,-1.0
1512925360.2158906,104229,-89.0
1512925377.6348956,104284,-4.0
1512925418.6749568,104438,22.0
1512925469.40354,104581,-2.0
1512925526.8087792,104789,2.0
1512925548.602605,104880,-1.0
1512925560.6247177,104899,17.0
1512925581.1254473,104980,-1.0
1512925836.1589947,105841,-1.0
1512926110.336126,106460,1.0
1512926167.647919,106662,-1.0
1512926217.9128022,106820,-8.0
1512926237.1455078,106852,-8.0
1512926327.0066564,107139,17.0
1512926353.9871228,107262,-1.0
1512926425.5671644,107491,2.0
1512928517.3694715,107570,-12.0
1512928570.5537462,107723,9.0
1512928591.8957589,107797,7.0
1512928671.5112326,108076,-1.0
1512928810.761928,108540,-1.0
1512928845.8612192,108637,63.0
1512928993.5670903,108819,-7.0
1512929016.9737737,108905,-1.0
1512929093.7522304,109121,67.0
1512929136.3899095,109272,98.0
1512929140.810659,109302,-38.0
1512929202.333497,109474,-81.0
1512929363.3247612,109931,-20.0
1512929451.7045941,110182,12.0
1512929490.6026733,110294,-6.0
1512929512.5314999,110369,71.0
1512929714.7028706,110946,-1.0
1512929735.1143255,111027,-2.0
1512929827.3928976,111332,-1.0
1512929916.308288,111378,-1.0
1512930049.560284,111755,50.0
1512930056.9087825,111800,-1.0
1512930093.037732,111881,-2.0
1512930115.1100948,111950,-1.0
1512930140.3919132,112036,-4.0
1512930252.524274,112365,-16.0
1512930275.2345011,112429,-16.0
1512930334.2503023,112577,2.0
1512930344.2655268,112639,-2.0
1512930426.2741697,112842,-1.0
1512930499.2766047,113085,9.0
1512930665.1761577,113609,-2.0
1512930808.168687,113746,-1.0
1512930871.9759638,113925,-2.0
1512930874.6566062,113942,6.0
1512930893.1498826,113999,1.0
1512930915.369548,114064,-1.0
1512930959.692073,114236,-1.0
1512931110.9884467,114665,7.0
1512931129.6857297,114721,1.0
1512931167.8005974,114843,-2.0
1512931227.0917563,115039,2.0
1512931264.8864415,115159,-85.0
1512931328.5509934,115387,-7.0
1512931361.165834,115477,0.0
1512931404.0664513,115628,-1.0
1512931437.9028316,115727,-2.0
1512931459.4969034,115807,-86.0
1512931555.1393554,116108,-53.0
1512931579.0140138,116203,5.0
1512931580.5503705,116213,-2.0
1512931594.2861052,116236,27.0
1512931635.5136101,116376,16.0
1512931773.9489584,116493,2.0
1512931813.8644817,116618,-1.0
1512931877.7135348,116833,-17.0
1512931919.909914,116973,0.0
1512931960.0181437,117104,-1.0
1512931973.5507402,117124,-6.0
1512932081.5869148,117497,16.0
1512932097.683306,117538,0.0
1512932099.7259395,117552,-1.0
1512932153.970218,117709,-1.0
1512932274.1188867,118062,-12.0
1512932328.3631153,118234,17.0
1512932330.3754706,118247,-13.0
1512932385.5349574,118414,-1.0
1512932594.0314786,118801,0.0
1512932597.9392142,118827,-12.0
1512932618.6315303,118886,-36.0
1512932679.4717617,119046,-1.0
1512932708.247036,119163,2.0
1512932708.6552403,119166,-1.0
1512932729.696879,119228,-1.0
1512932747.695835,119273,2.0
1512932831.0934393,119544,-1.0
1512932871.9476898,119676,12.0
1512932921.5646574,119819,0.0
1512932943.2815585,119902,8.0
1512932944.4575644,119910,0.0
1512932962.695581,119973,2.0
1512933020.06893,120180,-1.0
1512933179.1498141,120728,-1.0
1512933217.489477,120859,-92.0
1512933236.7244964,120935,-1.0
1512933293.3844562,121147,22.0
1512933303.7883706,121154,-1.0
1512933309.2364109,121198,23.0
1512933345.6735783,121334,10.0
1512933378.3373713,121439,58.0
1512933588.3591604,121783,-2.0
1512933603.1731403,121805,-1.0
1512933607.9696493,121841,-13.0
1512933625.8755543,121891,0.0
1512933767.0219812,122327,-58.0
1512933784.9147248,122372,0.0
1512933785.961635,122379,-2.0
1512933788.756313,122397,0.0
