Wall time,Step,Value
1512928058.025862,12101,-26.0
1512928085.9507055,12184,44.0
1512928115.295902,12282,-2.0
1512928115.3830452,12283,-5.0
1512928137.1893103,12305,2.0
1512928172.5311105,12410,-2.0
1512928224.4346135,12499,0.0
1512928225.8937578,12512,0.0
1512928248.8898997,12544,-2.0
1512928254.492283,12597,2.0
1512928275.93381,12611,2.0
1512928277.231764,12623,0.0
1512928302.808149,12677,2.0
1512928304.701099,12694,-2.0
1512928304.878678,12695,-98.0
1512928335.692218,12780,-2.0
1512928361.9438126,12840,-2.0
1512928363.2367342,12852,-31.0
1512928388.2576659,12903,-4.0
1512928388.9783394,12912,1.0
1512928437.061991,12997,-37.0
1512928467.8660855,13108,-2.0
1512928491.6216912,13148,-4.0
1512928492.01295,13152,-2.0
1512928494.6297243,13178,39.0
1512928547.2470672,13306,1.0
1512928547.4586308,13308,13.0
1512928568.1015568,13318,-57.0
1512928595.7957318,13396,-2.0
1512928622.331413,13469,2.0
1512928700.5694292,13659,43.0
1512928732.4053068,13730,-2.0
1512928732.9541283,13734,32.0
1512928735.6316586,13757,-1.0
1512928759.0487707,13760,-2.0
1512928761.6898816,13784,73.0
1512928762.0080957,13787,2.0
1512928814.0906043,13912,8.0
1512928919.292734,14151,-21.0
1512928950.4126728,14260,-1.0
1512928972.0842984,14275,80.0
1512928980.592461,14328,-22.0
1512928981.0266285,14332,-63.0
1512929006.6526246,14388,1.0
1512929056.5261223,14488,1.0
1512929057.328097,14495,-12.0
1512929058.4007983,14505,-8.0
1512929082.6893177,14546,-2.0
1512929084.8719568,14569,29.0
1512929085.3196268,14573,83.0
1512929111.0282364,14635,0.0
1512929134.7878892,14675,2.0
1512929136.6266937,14692,1.0
1512929137.2897654,14699,-2.0
1512929159.0901015,14720,21.0
1512929164.3337774,14770,-63.0
1512929165.5921235,14782,20.0
1512929189.91717,14829,-1.0
1512929238.8136466,14929,-97.0
1512929239.2168636,14933,83.0
1512929268.2233112,15029,28.0
1512929314.9819367,15104,-79.0
1512929316.4079964,15117,2.0
1512929321.265922,15162,-2.0
1512929341.6898978,15169,8.0
1512929342.0080605,15172,32.0
